i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4,ub_Xr,ub_ext_4r,CP_time,FL_t_e3,FL_t_Xr,FL_t_none,S2_t_e3,S2_t_Xr,S2_t_none,gap_Xr,time_Xr,gap_none,time_none,gap_e3,time_e3
1,1,43,46.1775413,1.5,0.25,0.2,46.17754126,48.17859827,48.17859827,46.45391239,46.2563982,46.24968476,46.17912114,45.98902281,45.98902281,46.17754126,45.98902281,0.036994,0.014558077,0.07962513,0.007035971,0.410114,0.237524986,6.986773968,0.073896308,0.354144116,0.120432518,7.030803939,0.069512158,0.461666077
1,2,47,49.2791252,1.5,0.25,0.2,49.27912517,52.35919408,52.35919408,49.91989111,49.71672316,49.44387367,49.27970503,49.27912517,49.27912517,49.30411883,49.27912517,0.17399,0.013396978,0.0755651,0.007002831,0.380569,0.257056952,6.822930098,0.049023805,0.506612052,0.114025406,7.003922929,0.048492025,0.567955978
1,3,47,48.5628514,1.5,0.25,0.2,48.56285144,50.37952638,50.37952638,48.95690733,48.95520674,48.6970715,48.57160159,48.56250241,48.56250241,48.82879734,48.56250241,0.033963,0.011855841,0.156365871,0.007303953,0.401984,0.25976491,6.977828979,0.038910582,0.450093781,0.071904817,7.019095932,0.033244732,0.447802841
1,4,62,64.3161942,1.5,0.25,0.2,64.31619416,67.20582788,67.20582788,65.53304177,65.03163788,64.75251574,64.39243079,64.32656123,64.31619416,64.5474714,64.31619416,0.037048,0.015303135,0.093043804,0.00622201,0.410816,0.335303068,6.921694994,0.041088248,0.465394872,0.083964966,6.964965004,0.037525181,0.463167135
1,5,39,41.2236185,1.5,0.25,0.2,41.22361845,42.95533962,42.95533962,41.29036324,41.26544278,41.23517711,41.22094479,41.22094479,41.22094479,41.56270442,41.22094479,0.680633,0.013108969,0.06917119,0.006803989,0.375228,0.250108004,7.490340948,0.06571037,0.999912194,0.101418965,8.177777937,0.056947302,1.068969969
1,6,48,50.5424151,1.5,0.25,0.2,50.54241507,52.70863975,52.70863975,50.60555565,50.54035687,50.53973554,50.54241507,50.54241507,50.54241507,50.54241507,50.53973554,0.217298,0.013403177,0.054750204,0.006567955,0.592965,0.255564928,7.072284937,0.052966981,0.527613132,0.098096661,7.296150892,0.052966981,0.823666177
1,7,60,62.28859,1.5,0.25,0.2,62.28858996,64.22366739,64.22366739,62.34351135,61.70411763,61.44158863,61.3739976,61.32963503,61.32963503,61.93422141,61.32963503,0.037737,0.018084049,0.075737953,0.007933855,0.493505,0.232482195,7.522135019,0.032237024,0.345957148,0.070394457,7.567805874,0.022160584,0.549326049
1,8,53,56.5459617,1.5,0.25,0.2,56.54596165,58.82310922,58.82310922,56.97051878,56.77253301,56.59369878,56.54724673,56.54596165,56.54596165,57.01697769,56.54596165,0.034109,0.021537066,0.091001987,0.007067919,0.543776,0.241215944,5.706903934,0.075792032,0.366326931,0.109869985,5.748080853,0.066904937,0.599422066
1,9,49,51.8709251,1.5,0.25,0.2,51.87092506,53.62782607,53.62782607,52.17125738,52.01999019,51.93080889,51.86416886,51.85063688,51.85063688,51.99148886,51.85063688,0.153826,0.014497042,0.057913065,0.007586956,0.407899,0.253185034,6.284322023,0.061050793,0.464924099,0.09444543,6.445734979,0.058176263,0.576222042
1,10,45,47.3839866,1.5,0.25,0.2,47.38398661,49.75422843,49.75422843,48.00697344,47.53263537,47.46734688,47.35411543,47.35059132,47.35059132,47.78224309,47.35059132,0.039604,0.010976791,0.082138062,0.006837845,0.378444,0.246330976,6.411546946,0.061827624,0.368073038,0.105649521,6.457988791,0.052235363,0.429024791
