,,0
1,1,46.783367813836904
1,2,49.43226491498771
1,3,48.78072948591114
1,4,66.59250978971566
1,5,40.89253957113986
1,6,51.21444635713685
1,7,60.936498956993574
1,8,56.76875255947505
1,10,48.36848539373965
2,1,41.34695579058948
2,2,52.98451364279987
2,3,46.472056379086595
2,4,44.806948955558944
2,5,55.232512201955146
2,6,49.71863570267607
2,7,47.84117006599276
2,9,58.27728215625295
2,10,45.61166441758394
3,1,74.10022873223286
3,2,43.718156355210795
3,3,60.10851073993624
3,4,98.59921000911972
3,5,54.08450256883863
3,6,56.516651006340275
3,7,50.235269481964785
3,8,54.98148306535985
3,9,66.96592366848576
3,10,60.378544225897244
4,1,52.438671189372414
4,2,61.57038062581178
4,3,49.530745950545935
4,4,58.000205077990955
4,5,61.30409195411569
4,6,47.114296273042456
4,7,59.58087833175733
4,8,58.5827778527515
4,9,41.03730977024573
4,10,51.361230932343574
7,1,57.872028919687125
7,6,37.74250271930746
7,7,54.09076951463934
8,1,48.1958144201433
8,2,53.706922429999615
8,3,55.70503151503609
8,4,50.770624279608
8,5,62.12864044418508
8,6,50.937724095034625
8,7,44.93595281941607
8,8,53.97298434730013
8,9,42.82149291486506
8,10,69.66965723421666
11,3,84.55541638136515
11,9,69.8746113385073
12,1,51.47898251094917
12,2,50.55352635154614
12,3,41.34753531186716
12,4,65.51118451878288
12,5,49.52496947854273
12,6,57.40640966891981
12,7,58.11773715042203
12,8,39.45436637183442
12,9,57.11155680608063
12,10,60.37241176154989
15,2,51.05227485788181
15,4,49.999313655219005
16,1,55.80657515884188
16,2,52.94913766923592
16,3,40.4290707185211
16,4,50.31656188439698
16,5,53.98708844796664
16,6,54.1081944901536
16,7,37.42589560199979
16,8,46.69884718262243
16,9,46.235738768296066
16,10,54.54699840675538
17,1,67.31835191239763
17,2,69.65929016020209
17,3,62.85155543774071
17,4,52.92504501750107
17,5,50.132163027881866
17,6,65.58473876800574
17,7,59.62274219623858
17,8,63.33889166107813
17,9,50.261136617111454
17,10,69.44123759208433
18,1,54.59581010504372
18,2,58.50446499514528
18,3,58.319741868108835
18,4,73.32867226688433
18,5,54.26715355849866
18,6,63.62956888951206
18,7,50.724163623322205
18,8,53.361302073913905
18,9,50.21316251912386
18,10,50.092349932575736
19,1,43.45178776319029
19,2,58.8330300537506
19,3,83.86343599932844
19,4,42.64249211047782
19,5,50.86244743349456
19,6,49.98733483408353
19,7,59.97005312432298
19,8,56.97203209584536
19,9,41.48219213449774
19,10,49.599669808347755
20,1,59.64554185168953
20,2,72.71885539101538
20,3,51.88815173579708
20,4,47.621667006769385
20,5,63.49825574853294
20,6,54.12781186151129
20,7,45.645669947576074
20,8,53.03239380165293
20,9,43.41545261513439
20,10,39.493342853191585
23,1,64.52336047697666
23,2,55.42019127935983
23,3,49.29942848074607
23,4,68.1168936838166
23,6,50.8941549472255
23,10,64.2576936135771
24,1,56.53072528226759
24,3,73.18560963831065
24,4,56.41195813155062
24,5,53.940980191634104
24,6,58.95078209232389
24,7,47.04786167876214
24,8,42.31500204727908
24,9,47.35271068738786
24,10,55.83785512941216
27,2,61.591472489795486
27,3,62.25001137432463
27,4,67.10649447816029
27,10,66.46473522364332
28,1,72.31005544718887
28,2,59.511218546709415
28,4,52.582212027404736
28,5,77.42933339906192
28,6,58.239742432598355
28,7,51.58474091065271
28,8,56.64105372404719
28,9,65.86061849417096
28,10,60.38623006098651
31,1,47.05926584513701
31,2,65.26621656118967
31,3,62.98046653758167
31,4,53.19722427972182
31,6,58.207527748147506
32,1,64.53304617844935
32,2,64.05708273562517
32,3,63.282728765512324
32,5,58.47562895978165
32,6,46.91686355782074
32,7,38.23785526213017
32,8,58.558516211640566
32,9,67.31071030398002
32,10,55.57458343283885
33,1,69.86495904667747
33,2,62.771904358386266
33,3,58.7255032753078
33,4,80.20138235344903
33,5,56.26335007354999
33,6,61.88002690769744
33,7,61.12151607496224
33,8,62.19887191434922
33,9,68.21951939791236
33,10,55.30776965582249
34,1,71.71747911394144
34,2,46.52035439214607
34,3,70.65970372473372
34,4,68.01927726355167
34,5,64.1010475208938
34,6,54.43876567187411
