i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4
1,1,43,46.1775413,1.5,0.25,0.2,46.17754126,48.17859827,48.17859827,46.45391239,46.2563982,46.24968476,46.17912114,45.9890228,45.98902281
1,2,47,49.2791252,1.5,0.25,0.2,49.27912517,52.35919408,52.35919408,49.91989111,49.71672316,49.44387367,49.27970503,49.2791252,49.27912517
1,3,47,48.5628514,1.5,0.25,0.2,48.56285144,50.37952638,50.37952638,48.95690733,48.95520674,48.6970715,48.57160159,48.5625024,48.56250241
1,4,62,64.3161942,1.5,0.25,0.2,64.31619416,67.20582788,67.20582788,65.53304177,65.03163788,64.75251574,64.39243079,64.3265612,64.31619416
1,5,39,41.2236185,1.5,0.25,0.2,41.22361845,42.95533962,42.95533962,41.29036324,41.26544278,41.23517711,41.22094479,41.2209448,41.22094479
1,6,48,50.5424151,1.5,0.25,0.2,50.54241507,52.70863975,52.70863975,50.60555565,50.54035687,50.53973554,50.54241507,50.5424151,50.54241507
1,7,60,62.28859,1.5,0.25,0.2,62.28858996,64.22366739,64.22366739,62.34351135,61.70411763,61.44158863,61.3739976,61.329635,61.32963503
1,8,53,56.5459617,1.5,0.25,0.2,56.54596165,58.82310922,58.82310922,56.97051878,56.77253301,56.59369878,56.54724673,56.5459616,56.54596165
1,9,49,51.8709251,1.5,0.25,0.2,51.87092506,53.62782607,53.62782607,52.17125738,52.01999019,51.93080889,51.86416886,51.8506369,51.85063688
1,10,45,47.3839866,1.5,0.25,0.2,47.38398661,49.75422843,49.75422843,48.00697344,47.53263537,47.46734688,47.35411543,47.3505913,47.35059132
2,1,38,39.8165569,1.5,0.25,0.5,39.8165569,42.19272328,42.19272328,40.69041583,40.16806719,40.07106853,40.00785789,39.5800145,39.59074622
2,2,51,52.8283605,1.5,0.25,0.5,52.82836046,54.84429207,54.84429207,53.20680402,53.08419649,52.77522656,52.74242502,52.7062405,52.70624053
2,3,43,46.1244059,1.5,0.25,0.5,46.12440588,48.90981911,48.90981911,46.72123543,46.41862664,46.13631167,46.06221508,46.2183554,46.02336385
2,4,43,44.2589009,1.5,0.25,0.5,44.25890085,48.59500648,48.59500648,45.02037478,44.5342117,44.28882187,44.0338652,43.7994202,43.65511705
2,5,51,53.0677749,1.5,0.25,0.5,53.0677749,55.64315043,55.64315043,54.09301412,53.40542348,53.32228584,53.19736078,53.0677749,53.0677749
2,6,47,48.6074342,1.5,0.25,0.5,48.60743421,51.45248694,51.45248694,48.22764713,47.7878324,47.68783273,47.58432945,47.4220835,47.39096181
2,7,47,48.6917296,1.5,0.25,0.5,48.69172959,52.02671203,52.02671203,49.17049268,48.52835353,48.13058282,47.69548674,47.831948,47.83194804
2,8,54,57.5293868,1.5,0.25,0.5,57.52938682,59.44609643,59.44609643,57.89132795,57.66764267,57.62160254,57.52193376,57.5127977,57.51279773
2,9,54,56.9440789,1.5,0.25,0.5,56.94407887,60.12995518,60.12995518,57.23690677,56.49130726,56.38148866,56.20641682,56.1373791,56.14600182
2,10,43,45.6603369,1.5,0.25,0.5,45.66033687,48.07660354,48.07660354,46.26950667,45.85476869,45.66566046,45.60005514,45.5842682,45.58426818
3,1,72,74.5187287,1.5,0.25,0.7,74.51872866,77.87226315,77.87226315,74.77595291,74.45642717,74.30556371,74.17365768,74.1060424,74.10604236
3,2,40,42.9290532,1.5,0.25,0.7,42.95498393,44.9913351,44.9913351,43.01871021,42.6253465,42.46723097,42.92857734,42.2087793,42.20877925
3,3,57,58.24174,1.5,0.25,0.7,58.24173995,61.09943285,61.09943285,59.59109956,59.09500913,58.55355576,58.45166497,58.193248,58.19324796
3,4,98,99.9892672,1.5,0.25,0.7,99.98926716,103.6772146,103.6772146,99.62109073,99.40608411,99.18415406,99.11719623,99.0787706,99.04552777
3,5,53,53.8639841,1.5,0.25,0.7,53.86398405,57.5338496,57.5338496,54.92986993,54.43714108,54.43714108,53.93914494,53.863984,53.86398405
3,6,54,56.0400623,1.5,0.25,0.7,56.04006229,58.87517311,58.87517311,56.63568212,56.15922208,56.07770115,56.03650934,56.0049184,56.00491842
3,7,48,48.2174726,1.5,0.25,0.7,48.21747257,51.44856692,51.44856692,50.10602936,48.91276318,48.72587732,48.25168119,48.2157564,48.21575644
3,8,54,54.9542245,1.5,0.25,0.7,54.95422449,57.72920843,57.72920843,55.88263879,55.65712589,55.24982787,54.95076688,54.9324051,54.93240509
