,,,0
28,6,0,56.525207035544504
28,6,1,56.5985002138985
28,6,2,56.46188012445934
28,6,3,56.44850978229515
28,6,4,56.43942358074038
28,6,5,56.46492059151889
28,6,6,56.47128893948374
28,6,7,56.64160390508499
28,6,8,57.07164958066783
28,6,9,56.52703554386367
28,6,10,56.67978271908802
28,6,11,56.602294023069206
28,6,12,56.49454256094644
28,6,13,56.67202450164341
28,6,14,56.493520964045324
28,6,15,56.69983318013256
28,6,16,FALSE
28,6,17,56.561769064621274
28,6,18,56.43360492218257
28,6,19,FALSE
28,6,20,56.562254139425
28,6,21,56.53025345947202
28,6,22,56.44584054943316
28,6,23,56.572959787903244
28,6,24,56.54163461618174
28,6,25,56.457544409715105
28,6,26,FALSE
28,6,27,56.66672638423224
28,6,28,56.543720479075795
28,6,29,FALSE
28,6,30,56.44433325255923
28,6,31,56.52819858107224
28,6,32,56.550631094098264
28,6,33,56.572656775645086
28,6,34,56.6509152407452
28,6,35,56.58991252374989
28,6,36,56.54068154532283
28,6,37,56.46077776646222
28,6,38,56.52330314883319
28,6,39,56.50197046930472
28,6,40,56.55281089348849
28,6,41,56.56472649196471
28,6,42,56.747479473438226
28,6,43,56.63482345641758
28,6,44,56.49449145603353
28,6,45,56.5062615200794
28,6,46,56.628367821974095
28,6,47,56.642089712830895
28,6,48,56.84989551901994
28,6,49,56.54535050305328
35,10,0,59.37961355276411
35,10,1,59.401255145158494
35,10,2,59.39189785777441
35,10,3,59.392199918641126
35,10,4,59.40135991239415
35,10,5,59.55628211387992
35,10,6,59.40135991239415
35,10,7,59.74465443188741
35,10,8,59.401255145158494
35,10,9,59.51569245449807
35,10,10,59.401255145158494
35,10,11,59.37961355276411
35,10,12,59.3925196603996
35,10,13,59.401255145158494
35,10,14,59.39127382848275
35,10,15,59.474378332543374
35,10,16,59.37961355276411
35,10,17,59.39127382848275
35,10,18,59.42482248085992
35,10,19,59.510904734590454
35,10,20,59.40135991239415
35,10,21,59.39189785777441
35,10,22,59.424925958846266
35,10,23,59.41689517294096
35,10,24,59.739821818601285
35,10,25,59.39200262501005
35,10,26,59.39200262501005
35,10,27,59.401255145158494
35,10,28,59.75837296380743
35,10,29,59.474378332543374
35,10,30,59.401255145158494
35,10,31,59.40135991239415
35,10,32,59.75826819657179
35,10,33,59.37961355276411
35,10,34,59.37971831999975
35,10,35,59.424927248095564
35,10,36,59.424927248095564
35,10,37,59.39127382848275
35,10,38,59.41679040570532
35,10,39,59.424927248095564
35,10,40,59.42482248085992
35,10,41,59.73798619566251
35,10,42,59.49551274811399
35,10,43,59.49561751534963
35,10,44,59.41679040570532
35,10,45,59.42317456955059
35,10,46,59.39189785777441
35,10,47,59.424927248095564
35,10,48,59.37971831999975
35,10,49,59.39189785777441
19,7,0,59.202289429443034
19,7,1,58.773248575673676
19,7,2,58.724951191109945
19,7,3,59.202289429443034
19,7,4,59.202641069716115
19,7,5,58.965140685007775
19,7,6,58.63174811258376
19,7,7,58.76432805528392
19,7,8,59.202641069716115
19,7,9,58.67811167159847
19,7,10,58.64218900720724
19,7,11,58.667866568639454
19,7,12,59.202641069716115
19,7,13,58.632491549435045
19,7,14,59.267895077298505
19,7,15,59.09832161218617
19,7,16,59.00449626793227
19,7,17,58.63315419806695
19,7,18,58.84670017834389
19,7,19,58.673429215784765
19,7,20,59.10233070948449
19,7,21,59.75281404849935
19,7,22,58.73717527149332
19,7,23,58.63451605375611
19,7,24,58.63190534776239
19,7,25,58.63190534776239
19,7,26,58.63174811258376
19,7,27,58.63451605375611
19,7,28,59.06470423184195
19,7,29,59.020641162539285
19,7,30,58.66147797751808
19,7,31,58.64234624238588
19,7,32,58.63174811258376
19,7,33,58.64234624238588
19,7,34,58.76761934216152
19,7,35,58.671097478392994
19,7,36,58.65416992306859
19,7,37,59.22448276624184
19,7,38,59.04983694069898
19,7,39,58.699263079842595
19,7,40,58.63241076121566
19,7,41,58.79445474495307
19,7,42,58.79461666957256
19,7,43,58.667866568639454
19,7,44,58.63174811258376
19,7,45,58.77373119801713
19,7,46,59.202641069716115
19,7,47,59.31847955283433
19,7,48,58.64218900720724
19,7,49,58.678268906777106
36,4,0,60.414318148434326
36,4,1,60.43550865861387
36,4,2,60.41369316482772
36,4,3,60.427492815914846
36,4,4,60.41083366493333
36,4,5,60.4117168782189
36,4,6,60.410443702409545
36,4,7,60.5258465212577
36,4,8,60.4086219030125
36,4,9,60.438646413303786
36,4,10,60.40918321547526
36,4,11,60.48054420620412
36,4,12,60.516560014503995
36,4,13,60.43524779944398
36,4,14,60.41083366493333
36,4,15,60.4341905813807
36,4,16,60.40977041885985
36,4,17,60.41083366493333
36,4,18,60.41242702550543
36,4,19,60.75481481475362
36,4,20,60.40810148392372
36,4,21,60.448088761972826
36,4,22,60.406151404553285
36,4,23,60.41801640054733
36,4,24,60.41083366493333
36,4,25,60.40977041885985
36,4,26,60.40977041885985
36,4,27,60.56498846092853
36,4,28,60.40975193338179
36,4,29,60.40975193338179
36,4,30,60.41083366493333
36,4,31,60.43742521314222
36,4,32,60.416760203785245
36,4,33,60.40918321547526
36,4,34,60.46586474756761
36,4,35,60.42625324394627
36,4,36,60.40975193338179
36,4,37,60.40975193338179
36,4,38,60.41083366493333
36,4,39,60.40991886918007
36,4,40,60.41083366493333
36,4,41,60.753971665143546
36,4,42,60.40975193338179
36,4,43,60.40813472764917
36,4,44,60.410443702409545
36,4,45,60.83368014247185
36,4,46,60.42045747724753
36,4,47,60.40961903827751
36,4,48,60.40975193338179
36,4,49,60.43727383255988
23,10,0,62.99990115458205
23,10,1,62.986654365894026
23,10,2,63.04238675258475
23,10,3,62.969519577341245
23,10,4,62.98210909286378
23,10,5,63.212111915029226
23,10,6,62.96458314233953
23,10,7,63.00242866557489
23,10,8,62.99248845580167
23,10,9,62.956044688383635
23,10,10,63.02431692106144
23,10,11,63.155846687469925
23,10,12,62.96852266869886
23,10,13,62.977731651068744
23,10,14,63.030745561675964
23,10,15,62.98295664912946
23,10,16,63.0020604175644
23,10,17,63.44322892943475
23,10,18,62.95587084127071
23,10,19,63.088054753642524
23,10,20,62.988589319870314
23,10,21,62.97475370487212
23,10,22,62.99139714759849
23,10,23,62.972096112828936
23,10,24,63.48431244942873
23,10,25,62.990094099311634
23,10,26,62.9819791791639
23,10,27,62.98904485938739
23,10,28,63.02213543933889
23,10,29,62.96270464642948
23,10,30,62.96753047854434
23,10,31,62.98564740907291
23,10,32,63.00598174262545
23,10,33,63.19214708094592
23,10,34,63.1391213754988
23,10,35,62.963853359708274
23,10,36,62.961909781983955
